Ligand.ApprovedSymbol,Receptor.ApprovedSymbol,Ligand.ApprovedSymbol,Receptor.ApprovedSymbol
CCL16,CCR5,Ccl16,Ccr5
CCL16,HRH4,Ccl16,Hrh4
CCL17,CCR4,Ccl17,Ccr4
CCL17,CCR8,Ccl17,Ccr8
CCL19,ACKR4,Ccl19,Ackr4
CCL19,CCR7,Ccl19,Ccr7
CCL19,CCRL2,Ccl19,Ccrl2
CCL19,CXCR3,Ccl19,Cxcr3
CCL1,CCR8,Ccl1,Ccr8
CCL20,CCR6,Ccl20,Ccr6
CCL20,CXCR3,Ccl20,Cxcr3
CCL21,ACKR4,Ccl21,Ackr4
CCL21,CCR7,Ccl21,Ccr7
CCL21,CXCR3,Ccl21,Cxcr3
CCL22,CCR4,Ccl22,Ccr4
CCL23,CCR1,Ccl23,Ccr1
CCL24,CCR2,Ccl24,Ccr2
CCL24,CCR3,Ccl24,Ccr3
CCL25,ACKR4,Ccl25,Ackr4
CCL25,CCR9,Ccl25,Ccr9
CCL26,CCR2,Ccl26,Ccr2
CCL26,CCR3,Ccl26,Ccr3
CCL27,CCR10,Ccl27,Ccr10
CCL28,CCR10,Ccl28,Ccr10
CCL28,CCR3,Ccl28,Ccr3
CCL2,ACKR2,Ccl2,Ackr2
CCL2,CCR1,Ccl2,Ccr1
CCL2,CCR2,Ccl2,Ccr2
CCL2,CCR3,Ccl2,Ccr3
CCL2,CCR4,Ccl2,Ccr4
CCL2,CCR5,Ccl2,Ccr5
CCL2,DARC,Ccl2,Darc
CCL3,CCR1,Ccl3,Ccr1
CCL3,CCR5,Ccl3,Ccr5
CCL4,ACKR2,Ccl4,Ackr2
CCL4,CCR1,Ccl4,Ccr1
CCL4,CCR5,Ccl4,Ccr5
CCL4,CCR8,Ccl4,Ccr8
CCL5,ACKR2,Ccl5,Ackr2
CCL5,CCR1,Ccl5,Ccr1
CCL5,CCR3,Ccl5,Ccr3
CCL5,CCR4,Ccl5,Ccr4
CCL5,CCR5,Ccl5,Ccr5
CCL5,CXCR3,Ccl5,Cxcr3
CCL5,DARC,Ccl5,Darc
CCL5,GPR75,Ccl5,Gpr75
CCL7,ACKR2,Ccl7,Ackr2
CCL7,CCR1,Ccl7,Ccr1
CCL7,CCR2,Ccl7,Ccr2
CCL7,CCR3,Ccl7,Ccr3
CCL7,CCR5,Ccl7,Ccr5
CCL7,CXCR3,Ccl7,Cxcr3
CCL8,ACKR2,Ccl8,Ackr2
CCL8,CCR1,Ccl8,Ccr1
CCL8,CCR2,Ccl8,Ccr2
CCL8,CCR3,Ccl8,Ccr3
CCL8,CCR5,Ccl8,Ccr5
CD24,SELP,Cd24,Selp
CD34,SELL,Cd34,Sell
CD40LG,CD40,Cd40lg,Cd40
CD55,CD97,Cd55,Cd97
CD70,CD27,Cd70,Cd27
CDH1,ITGAE,Cdh1,Itgae
CDH1,ITGB7,Cdh1,Itgb7
CFH,SELL,Cfh,Sell
CGA,FSHR,Cga,Fshr
CGA,LHCGR,Cga,Lhcgr
CGA,TSHR,Cga,Tshr
CGB,LHCGR,Cgb,Lhcgr
CHAD,ITGA2,Chad,Itga2
CHAD,ITGB1,Chad,Itgb1
CLCF1,CNTFR,Clcf1,Cntfr
CLCF1,CRLF1,Clcf1,Crlf1
CLCF1,IL6ST,Clcf1,Il6st
CLCF1,LIFR,Clcf1,Lifr
CNTF,CNTFR,Cntf,Cntfr
CNTF,IL6ST,Cntf,Il6st
CNTF,LIFR,Cntf,Lifr
COL18A1,GPC1,Col18a1,Gpc1
COL18A1,ITGA5,Col18a1,Itga5
COL18A1,ITGB1,Col18a1,Itgb1
COL1A1,DDR1,Col1a1,Ddr1
COL1A1,DDR2,Col1a1,Ddr2
COL1A1,ITGA11,Col1a1,Itga11
COL1A1,ITGA2,Col1a1,Itga2
COL1A1,ITGB1,Col1a1,Itgb1
COL2A1,ITGA10,Col2a1,Itga10
COL2A1,ITGA2,Col2a1,Itga2
COL2A1,ITGB1,Col2a1,Itgb1
COL4A1,ITGA1,Col4a1,Itga1
COL4A1,ITGB1,Col4a1,Itgb1
COL4A1,ITGB8,Col4a1,Itgb8
COL5A3,SDC3,Col5a3,Sdc3
CORT,GHSR,Cort,Ghsr
CORT,MRGPRX2,Cort,Mrgprx2
CORT,SSTR1,Cort,Sstr1
CORT,SSTR2,Cort,Sstr2
CORT,SSTR3,Cort,Sstr3
CORT,SSTR4,Cort,Sstr4
CORT,SSTR5,Cort,Sstr5
CRH,CRHR1,Crh,Crhr1
CRH,CRHR2,Crh,Crhr2
CRH,MC2R,Crh,Mc2r
CSF1,CSF1R,Csf1,Csf1r
CSF2,CSF1R,Csf2,Csf1r
CSF2,CSF2RA,Csf2,Csf2ra
CSF2,CSF2RB,Csf2,Csf2rb
CSF2,CSF3R,Csf2,Csf3r
CSF3,CSF1R,Csf3,Csf1r
CSF3,CSF3R,Csf3,Csf3r
CSH1,PRLR,Csh1,Prlr
CSH2,PRLR,Csh2,Prlr
CSHL1,PRLR,Cshl1,Prlr
CTF1,IL6ST,Ctf1,Il6st
CTF1,LIFR,Ctf1,Lifr
CTGF,ITGAM,Ctgf,Itgam
CTGF,ITGB2,Ctgf,Itgb2
CTGF,LRP6,Ctgf,Lrp6
CX3CL1,CX3CR1,Cx3cl1,Cx3cr1
CXCL10,CCR3,Cxcl10,Ccr3
CXCL10,CXCR3,Cxcl10,Cxcr3
CXCL11,ACKR3,Cxcl11,Ackr3
CXCL11,CCR3,Cxcl11,Ccr3
CXCL11,CXCR3,Cxcl11,Cxcr3
CXCL12,ACKR3,Cxcl12,Ackr3
