Ligand.ApprovedSymbol,Receptor.ApprovedSymbol,Ligand.ApprovedSymbol,Receptor.ApprovedSymbol
IL21,IL2RG,Il21,Il2rg
IL22,IL10RA,Il22,Il10ra
IL22,IL22RA1,Il22,Il22ra1
IL22,IL22RA2,Il22,Il22ra2
IL23A,IL12RB1,Il23a,Il12rb1
IL23A,IL23R,Il23a,Il23r
IL24,IL20RA,Il24,Il20ra
IL24,IL20RB,Il24,Il20rb
IL24,IL22RA1,Il24,Il22ra1
IL25,IL17RB,Il25,Il17rb
IL2,IL2RA,Il2,Il2ra
IL2,IL2RB,Il2,Il2rb
IL2,IL2RG,Il2,Il2rg
IL31,IL31RA,Il31,Il31ra
IL31,OSMR,Il31,Osmr
IL3,CSF2RB,Il3,Csf2rb
IL3,IL3RA,Il3,Il3ra
IL4,IL13RA1,Il4,Il13ra1
IL4,IL2RG,Il4,Il2rg
IL4,IL4R,Il4,Il4r
IL5,CSF2RB,Il5,Csf2rb
IL5,IL5RA,Il5,Il5ra
IL6,IL6R,Il6,Il6r
IL6,IL6ST,Il6,Il6st
IL7,IL2RG,Il7,Il2rg
IL7,IL7R,Il7,Il7r
IL8,CXCR1,Il8,Cxcr1
IL8,CXCR2,Il8,Cxcr2
IL8,DARC,Il8,Darc
IL9,IL2RG,Il9,Il2rg
IL9,IL9R,Il9,Il9r
INHA,ACVR2A,Inha,Acvr2a
INHA,TGFBR3,Inha,Tgfbr3
INHBA,ACVR1,Inhba,Acvr1
INHBA,ACVR1B,Inhba,Acvr1b
INHBA,ACVR2A,Inhba,Acvr2a
INHBA,ACVR2B,Inhba,Acvr2b
INHBA,BAMBI,Inhba,Bambi
INHBB,ACVR1,Inhbb,Acvr1
INHBB,ACVR1B,Inhbb,Acvr1b
INHBB,ACVR2A,Inhbb,Acvr2a
INHBB,ACVR2B,Inhbb,Acvr2b
INHBC,ACVR1,Inhbc,Acvr1
INHBC,ACVR1B,Inhbc,Acvr1b
INHBC,ACVR2A,Inhbc,Acvr2a
INHBC,ACVR2B,Inhbc,Acvr2b
INSL3,RXFP2,Insl3,Rxfp2
INSL5,RXFP3,Insl5,Rxfp3
INSL5,RXFP4,Insl5,Rxfp4
INS,INSR,Ins,Insr
JAG1,NOTCH1,Jag1,Notch1
JAG1,NOTCH2,Jag1,Notch2
JAG1,NOTCH3,Jag1,Notch3
JAG1,NOTCH4,Jag1,Notch4
JAG2,NOTCH1,Jag2,Notch1
JAG2,NOTCH2,Jag2,Notch2
JAG2,NOTCH3,Jag2,Notch3
KISS1,KISS1R,Kiss1,Kiss1r
KITLG,KIT,Kitlg,Kit
KNG1,BDKRB1,Kng1,Bdkrb1
KNG1,BDKRB2,Kng1,Bdkrb2
KNG1,GPR135,Kng1,Gpr135
LAMA1,ITGA7,Lama1,Itga7
LAMA1,ITGB1,Lama1,Itgb1
LAMA1,ITGB8,Lama1,Itgb8
LAMA1,RPSA,Lama1,Rpsa
LAMA2,ITGA7,Lama2,Itga7
LAMA2,ITGB1,Lama2,Itgb1
LAMA2,RPSA,Lama2,Rpsa
LAMB1,ITGA6,Lamb1,Itga6
LAMB1,ITGB1,Lamb1,Itgb1
LAMB2,RPSA,Lamb2,Rpsa
LAMC2,ITGA3,Lamc2,Itga3
LAMC2,ITGA6,Lamc2,Itga6
LAMC2,ITGB1,Lamc2,Itgb1
LAMC2,ITGB4,Lamc2,Itgb4
LEFTY2,ACVR2B,Lefty2,Acvr2b
LEP,LEPR,Lep,Lepr
LHB,LHCGR,Lhb,Lhcgr
LIF,IL6ST,Lif,Il6st
LIF,LIFR,Lif,Lifr
LIPH,LPAR1,Liph,Lpar1
LIPH,LPAR2,Liph,Lpar2
LIPH,LPAR4,Liph,Lpar4
LRPAP1,LRP1,Lrpap1,Lrp1
LTA,LTBR,Lta,Ltbr
LTA,TNFRSF14,Lta,Tnfrsf14
LTA,TNFRSF1A,Lta,Tnfrsf1a
LTA,TNFRSF1B,Lta,Tnfrsf1b
LTB,CD40,Ltb,Cd40
LTB,LTBR,Ltb,Ltbr
LTF,LRP1,Ltf,Lrp1
LTF,LRP11,Ltf,Lrp11
MADCAM1,ITGA4,Madcam1,Itga4
MADCAM1,ITGB7,Madcam1,Itgb7
MDK,ALK,Mdk,Alk
MDK,PTPRZ1,Mdk,Ptprz1
MLN,MLNR,Mln,Mlnr
MMP13,LRP1,Mmp13,Lrp1
MMP9,LRP1,Mmp9,Lrp1
MST1,MST1R,Mst1,Mst1r
NAMPT,INSR,Nampt,Insr
NCAM1,ROBO1,Ncam1,Robo1
NCAM1,ROBO3,Ncam1,Robo3
NDP,FZD4,Ndp,Fzd4
NDP,LGR4,Ndp,Lgr4
NGF,NGFR,Ngf,Ngfr
NGF,NTRK1,Ngf,Ntrk1
NGF,SORT1,Ngf,Sort1
NID1,PTPRF,Nid1,Ptprf
NLGN1,NRXN1,Nlgn1,Nrxn1
NLGN1,NRXN3,Nlgn1,Nrxn3
NLGN2,NRXN1,Nlgn2,Nrxn1
NLGN2,NRXN2,Nlgn2,Nrxn2
NLGN2,NRXN3,Nlgn2,Nrxn3
NLGN3,NRXN1,Nlgn3,Nrxn1
NLGN3,NRXN2,Nlgn3,Nrxn2
NLGN3,NRXN3,Nlgn3,Nrxn3
NMB,GRPR,Nmb,Grpr
NMB,NMBR,Nmb,Nmbr
NMS,NMUR1,Nms,Nmur1
NMS,NMUR2,Nms,Nmur2
NMU,NMUR1,Nmu,Nmur1
NMU,NMUR2,Nmu,Nmur2
NODAL,ACVR1B,Nodal,Acvr1b
NODAL,ACVR1C,Nodal,Acvr1c
NODAL,ACVR2A,Nodal,Acvr2a
NODAL,ACVR2B,Nodal,Acvr2b
NOV,NOTCH1,Nov,Notch1
NPB,NPBWR1,Npb,Npbwr1
NPB,NPBWR2,Npb,Npbwr2
NPFF,NPFFR1,Npff,Npffr1
NPFF,NPFFR2,Npff,Npffr2
NPNT,ITGA8,Npnt,Itga8
NPNT,ITGB1,Npnt,Itgb1
NPPA,NPR1,Nppa,Npr1
NPPA,NPR3,Nppa,Npr3
NPPB,NPR1,Nppb,Npr1
NPPB,NPR2,Nppb,Npr2
NPPB,NPR3,Nppb,Npr3
NPPC,NPR2,Nppc,Npr2
NPS,NPSR1,Nps,Npsr1
NPVF,NPFFR1,Npvf,Npffr1
NPVF,NPFFR2,Npvf,Npffr2
NPW,NPBWR1,Npw,Npbwr1
NPW,NPBWR2,Npw,Npbwr2
NPY,NPY1R,Npy,Npy1r
NPY,NPY2R,Npy,Npy2r
NPY,NPY4R,Npy,Npy4r
NPY,NPY5R,Npy,Npy5r
NPY,PRLHR,Npy,Prlhr
NRG1,ERBB2,Nrg1,Erbb2
NRG1,ERBB3,Nrg1,Erbb3
NRG1,ERBB4,Nrg1,Erbb4
NRG2,ERBB3,Nrg2,Erbb3
NRG2,ERBB4,Nrg2,Erbb4
NRG3,ERBB4,Nrg3,Erbb4
NRG4,ERBB4,Nrg4,Erbb4
NRTN,GFRA1,Nrtn,Gfra1
NRTN,GFRA2,Nrtn,Gfra2
NRTN,RET,Nrtn,Ret
NTF3,NGFR,Ntf3,Ngfr
NTF3,NTRK1,Ntf3,Ntrk1
NTF3,NTRK2,Ntf3,Ntrk2
NTF3,NTRK3,Ntf3,Ntrk3
NTF4,NGFR,Ntf4,Ngfr
NTF4,NGFRAP1,Ntf4,Ngfrap1
NTF4,NTRK1,Ntf4,Ntrk1
NTF4,NTRK2,Ntf4,Ntrk2
NTN1,DCC,Ntn1,Dcc
NTN1,UNC5C,Ntn1,Unc5c
NTN3,CDON,Ntn3,Cdon
NTN3,NEO1,Ntn3,Neo1
NTN4,DCC,Ntn4,Dcc
NTN4,UNC5A,Ntn4,Unc5a
NTNG1,LRRC4C,Ntng1,Lrrc4c
NTS,NTSR1,Nts,Ntsr1
NTS,NTSR2,Nts,Ntsr2
NXPH1,NRXN1,Nxph1,Nrxn1
NXPH1,NRXN2,Nxph1,Nrxn2
NXPH1,NRXN3,Nxph1,Nrxn3
NXPH3,NRXN1,Nxph3,Nrxn1
NXPH3,NRXN2,Nxph3,Nrxn2
NXPH3,NRXN3,Nxph3,Nrxn3
OMG,LINGO1,Omg,Lingo1
OMG,TNFRSF1B,Omg,Tnfrsf1b
OSM,IL6ST,Osm,Il6st
OSM,LIFR,Osm,Lifr
OSM,OSMR,Osm,Osmr
OSTN,NPR3,Ostn,Npr3
OXT,AVPR1A,Oxt,Avpr1a
OXT,AVPR1B,Oxt,Avpr1b
OXT,AVPR2,Oxt,Avpr2
OXT,OXTR,Oxt,Oxtr
PDGFA,PDGFRA,Pdgfa,Pdgfra
PDGFB,PDGFRA,Pdgfb,Pdgfra
PDGFB,PDGFRB,Pdgfb,Pdgfrb
PDGFC,FLT4,Pdgfc,Flt4
PDGFC,KDR,Pdgfc,Kdr
PDGFC,PDGFRA,Pdgfc,Pdgfra
PDGFD,PDGFRB,Pdgfd,Pdgfrb
PDYN,OPRD1,Pdyn,Oprd1
PDYN,OPRK1,Pdyn,Oprk1
PDYN,OPRM1,Pdyn,Oprm1
PENK,MRGPRX1,Penk,Mrgprx1
PENK,OGFR,Penk,Ogfr
PENK,OPRD1,Penk,Oprd1
PENK,OPRM1,Penk,Oprm1
PF4,FGFR2,Pf4,Fgfr2
PF4,LDLR,Pf4,Ldlr
PF4,PROCR,Pf4,Procr
PF4,THBD,Pf4,Thbd
PGF,FLT1,Pgf,Flt1
PGF,NRP1,Pgf,Nrp1
PLAT,LRP1,Plat,Lrp1
PLAU,LRP1,Plau,Lrp1
PLAU,PLAUR,Plau,Plaur
PLG,ITGA9,Plg,Itga9
PLG,ITGB1,Plg,Itgb1
PMCH,MCHR1,Pmch,Mchr1
PMCH,MCHR2,Pmch,Mchr2
PNOC,OPRL1,Pnoc,Oprl1
PODXL2,SELL,Podxl2,Sell
POMC,MC1R,Pomc,Mc1r
POMC,MC2R,Pomc,Mc2r
POMC,MC3R,Pomc,Mc3r
POMC,MC4R,Pomc,Mc4r
POMC,MC5R,Pomc,Mc5r
POMC,OPRD1,Pomc,Oprd1
POMC,OPRK1,Pomc,Oprk1
POMC,OPRM1,Pomc,Oprm1
PPBP,CXCR1,Ppbp,Cxcr1
PPBP,CXCR2,Ppbp,Cxcr2
PPY,NPY4R,Ppy,Npy4r
PPY,NPY5R,Ppy,Npy5r
PRLH,PRLHR,Prlh,Prlhr
PRL,PRLR,Prl,Prlr
PRND,RPSA,Prnd,Rpsa
PROC,PROCR,Proc,Procr
PROK1,PROKR1,Prok1,Prokr1
PROK1,PROKR2,Prok1,Prokr2
PROK2,PROKR1,Prok2,Prokr1
PROK2,PROKR2,Prok2,Prokr2
PROS1,AXL,Pros1,Axl
PROS1,TYRO3,Pros1,Tyro3
PSAP,GPR37,Psap,Gpr37
PSAP,GPR37L1,Psap,Gpr37l1
PSAP,LRP1,Psap,Lrp1
PSEN1,NCSTN,Psen1,Ncstn
PSPN,GFRA4,Pspn,Gfra4
PSPN,RET,Pspn,Ret
PTDSS1,JMJD6,Ptdss1,Jmjd6
PTDSS1,SCARB1,Ptdss1,Scarb1
PTGS2,PTGDR2,Ptgs2,Ptgdr2
PTH2,PTH1R,Pth2,Pth1r
PTH2,PTH2R,Pth2,Pth2r
PTHLH,PRLHR,Pthlh,Prlhr
PTHLH,PTH1R,Pthlh,Pth1r
PTHLH,PTH2R,Pthlh,Pth2r
PTH,PTH1R,Pth,Pth1r
PTH,PTH2R,Pth,Pth2r
PTN,PTPRB,Ptn,Ptprb
PTN,PTPRZ1,Ptn,Ptprz1
PYY,NPY1R,Pyy,Npy1r
PYY,NPY2R,Pyy,Npy2r
PYY,NPY4R,Pyy,Npy4r
PYY,NPY5R,Pyy,Npy5r
QRFP,P2RY14,Qrfp,P2ry14
QRFP,QRFPR,Qrfp,Qrfpr
RARRES2,CMKLR1,Rarres2,Cmklr1
RARRES2,GPR1,Rarres2,Gpr1
RELN,ITGA3,Reln,Itga3
RELN,ITGB1,Reln,Itgb1
RELN,LRP8,Reln,Lrp8
RELN,VLDLR,Reln,Vldlr
REN,ATP6AP2,Ren,Atp6ap2
RGMA,NEO1,Rgma,Neo1
RLN1,RXFP1,Rln1,Rxfp1
RLN1,RXFP2,Rln1,Rxfp2
RLN2,RXFP1,Rln2,Rxfp1
RLN2,RXFP2,Rln2,Rxfp2
RLN3,RXFP1,Rln3,Rxfp1
RLN3,RXFP2,Rln3,Rxfp2
RLN3,RXFP3,Rln3,Rxfp3
RLN3,RXFP4,Rln3,Rxfp4
RPS19,C5AR1,Rps19,C5ar1
RSPO1,LGR4,Rspo1,Lgr4
RSPO1,LGR5,Rspo1,Lgr5
RSPO1,LGR6,Rspo1,Lgr6
RSPO1,LRP6,Rspo1,Lrp6
RSPO2,LGR4,Rspo2,Lgr4
RSPO2,LGR5,Rspo2,Lgr5
RSPO2,LGR6,Rspo2,Lgr6
RSPO3,LGR4,Rspo3,Lgr4
RSPO3,LGR5,Rspo3,Lgr5
RSPO3,LGR6,Rspo3,Lgr6
RSPO4,LGR4,Rspo4,Lgr4
RSPO4,LGR5,Rspo4,Lgr5
RSPO4,LGR6,Rspo4,Lgr6
RTN4,LINGO1,Rtn4,Lingo1
RTN4,RTN4R,Rtn4,Rtn4r
RTN4,TNFRSF19,Rtn4,Tnfrsf19
SAA1,FPR2,Saa1,Fpr2
SCT,SCTR,Sct,Sctr
SELPLG,SELE,Selplg,Sele
SELPLG,SELP,Selplg,Selp
SEMA3A,NRP1,Sema3a,Nrp1
SEMA3A,PLXNA1,Sema3a,Plxna1
SEMA3A,PLXNA2,Sema3a,Plxna2
SEMA3A,PLXNA4,Sema3a,Plxna4
SEMA3B,NRP1,Sema3b,Nrp1
SEMA3C,NRP2,Sema3c,Nrp2
SEMA3E,PLXND1,Sema3e,Plxnd1
SEMA3F,NRP2,Sema3f,Nrp2
SEMA3F,PLXNA3,Sema3f,Plxna3
SEMA4D,MET,Sema4d,Met
SEMA4D,PLXNB1,Sema4d,Plxnb1
SEMA4D,PLXNB2,Sema4d,Plxnb2
SEMA5A,MET,Sema5a,Met
SEMA5A,PLXNB3,Sema5a,Plxnb3
SEMA6D,KDR,Sema6d,Kdr
SEMA6D,PLXNA1,Sema6d,Plxna1
SEMA7A,PLXNC1,Sema7a,Plxnc1
SERPINA1,LRP1,Serpina1,Lrp1
SERPINC1,LRP1,Serpinc1,Lrp1
SERPINE1,LRP1,Serpine1,Lrp1
SERPINE2,LRP1,Serpine2,Lrp1
SERPING1,LRP1,Serping1,Lrp1
SHANK1,LPHN1,Shank1,Lphn1
SHH,BOC,Shh,Boc
SHH,CDON,Shh,Cdon
SHH,HHIP,Shh,Hhip
SHH,PTCH1,Shh,Ptch1
SHH,SMO,Shh,Smo
SLIT1,GPC1,Slit1,Gpc1
SLIT1,ROBO1,Slit1,Robo1
SLIT1,SDC1,Slit1,Sdc1
SLIT2,GPC1,Slit2,Gpc1
SLIT2,ROBO1,Slit2,Robo1
SLIT2,ROBO2,Slit2,Robo2
SLIT2,ROBO4,Slit2,Robo4
SLIT2,SDC1,Slit2,Sdc1
SOST,LRP5,Sost,Lrp5
SOST,LRP6,Sost,Lrp6
SPP1,CD44,Spp1,Cd44
SPP1,ITGAV,Spp1,Itgav
SST,SSTR1,Sst,Sstr1
SST,SSTR2,Sst,Sstr2
SST,SSTR3,Sst,Sstr3
SST,SSTR4,Sst,Sstr4
SST,SSTR5,Sst,Sstr5
TAC1,TACR1,Tac1,Tacr1
TAC1,TACR2,Tac1,Tacr2
TAC1,TACR3,Tac1,Tacr3
TAC3,TACR1,Tac3,Tacr1
TAC3,TACR2,Tac3,Tacr2
TAC3,TACR3,Tac3,Tacr3
TAC4,TACR1,Tac4,Tacr1
TAC4,TACR3,Tac4,Tacr3
TDGF1,ACVR2A,Tdgf1,Acvr2a
TFPI,LRP1,Tfpi,Lrp1
TFPI,VLDLR,Tfpi,Vldlr
TF,TFRC,Tf,Tfrc
TGFA,EGFR,Tgfa,Egfr
TGFB1,ACVRL1,Tgfb1,Acvrl1
TGFB1,TGFBR1,Tgfb1,Tgfbr1
TGFB1,TGFBR2,Tgfb1,Tgfbr2
TGFB1,TGFBR3,Tgfb1,Tgfbr3
TGFB2,TGFBR1,Tgfb2,Tgfbr1
TGFB2,TGFBR2,Tgfb2,Tgfbr2
TGFB2,TGFBR3,Tgfb2,Tgfbr3
TGFB3,ACVRL1,Tgfb3,Acvrl1
TGFB3,TGFBR1,Tgfb3,Tgfbr1
TGFB3,TGFBR2,Tgfb3,Tgfbr2
TGFB3,TGFBR3,Tgfb3,Tgfbr3
TGM2,GPR56,Tgm2,Gpr56
THBS1,CD36,Thbs1,Cd36
THBS1,CD47,Thbs1,Cd47
THBS1,SDC1,Thbs1,Sdc1
THBS2,CD47,Thbs2,Cd47
THPO,MPL,Thpo,Mpl
TNFSF10,TNFRSF10A,Tnfsf10,Tnfrsf10a
TNFSF10,TNFRSF10B,Tnfsf10,Tnfrsf10b
TNFSF10,TNFRSF10C,Tnfsf10,Tnfrsf10c
TNFSF10,TNFRSF10D,Tnfsf10,Tnfrsf10d
TNFSF10,TNFRSF11B,Tnfsf10,Tnfrsf11b
TNFSF11,TNFRSF11A,Tnfsf11,Tnfrsf11a
TNFSF11,TNFRSF11B,Tnfsf11,Tnfrsf11b
TNFSF12,TNFRSF12A,Tnfsf12,Tnfrsf12a
TNFSF12,TNFRSF25,Tnfsf12,Tnfrsf25
TNFSF13B,TNFRSF13B,Tnfsf13b,Tnfrsf13b
TNFSF13B,TNFRSF13C,Tnfsf13b,Tnfrsf13c
TNFSF13B,TNFRSF17,Tnfsf13b,Tnfrsf17
TNFSF13,TNFRSF13B,Tnfsf13,Tnfrsf13b
TNFSF13,TNFRSF17,Tnfsf13,Tnfrsf17
TNFSF14,LTBR,Tnfsf14,Ltbr
TNFSF14,TNFRSF14,Tnfsf14,Tnfrsf14
TNFSF14,TNFRSF6B,Tnfsf14,Tnfrsf6b
TNFSF15,TNFRSF25,Tnfsf15,Tnfrsf25
TNFSF18,TNFRSF18,Tnfsf18,Tnfrsf18
TNFSF4,TNFRSF4,Tnfsf4,Tnfrsf4
TNFSF8,TNFRSF8,Tnfsf8,Tnfrsf8
TNFSF9,TNFRSF9,Tnfsf9,Tnfrsf9
TNF,TNFRSF1A,Tnf,Tnfrsf1a
TNF,TNFRSF1B,Tnf,Tnfrsf1b
TNF,TNFRSF21,Tnf,Tnfrsf21
TRH,TRHR,Trh,Trhr
TSHB,TSHR,Tshb,Tshr
UCN2,CRHR1,Ucn2,Crhr1
UCN2,CRHR2,Ucn2,Crhr2
UCN3,CRHR2,Ucn3,Crhr2
UCN,CRHR1,Ucn,Crhr1
UCN,CRHR2,Ucn,Crhr2
ULBP2,KLRK1,Ulbp2,Klrk1
UTS2B,UTS2R,Uts2b,Uts2r
UTS2,UTS2R,Uts2,Uts2r
VCAM1,ITGA4,Vcam1,Itga4
VCAM1,ITGAD,Vcam1,Itgad
VCAM1,ITGB1,Vcam1,Itgb1
VCAM1,ITGB2,Vcam1,Itgb2
VEGFA,FLT1,Vegfa,Flt1
VEGFA,KDR,Vegfa,Kdr
VEGFA,NRP1,Vegfa,Nrp1
VEGFA,NRP2,Vegfa,Nrp2
VEGFB,FLT1,Vegfb,Flt1
VEGFB,NRP1,Vegfb,Nrp1
VEGFC,FLT4,Vegfc,Flt4
VEGFC,KDR,Vegfc,Kdr
VEGFC,NRP2,Vegfc,Nrp2
VEGFC,VIPR2,Vegfc,Vipr2
VIP,ADCYAP1R1,Vip,Adcyap1r1
VIP,SCTR,Vip,Sctr
VIP,VIPR1,Vip,Vipr1
VIP,VIPR2,Vip,Vipr2
VTN,ITGA5,Vtn,Itga5
VTN,ITGB3,Vtn,Itgb3
WNT11,FZD7,Wnt11,Fzd7
WNT1,FZD3,Wnt1,Fzd3
WNT1,FZD8,Wnt1,Fzd8
WNT1,FZD9,Wnt1,Fzd9
WNT1,RYK,Wnt1,Ryk
WNT3A,FZD6,Wnt3a,Fzd6
WNT3,FZD8,Wnt3,Fzd8
WNT3,LRP6,Wnt3,Lrp6
WNT3,RYK,Wnt3,Ryk
WNT4,FZD2,Wnt4,Fzd2
WNT4,FZD6,Wnt4,Fzd6
WNT5A,FZD2,Wnt5a,Fzd2
WNT5A,FZD4,Wnt5a,Fzd4
WNT5A,FZD6,Wnt5a,Fzd6
WNT5A,FZD7,Wnt5a,Fzd7
WNT5A,RYK,Wnt5a,Ryk
WNT7A,FZD5,Wnt7a,Fzd5
WNT7B,FZD1,Wnt7b,Fzd1
WNT7B,FZD10,Wnt7b,Fzd10
WNT7B,LRP5,Wnt7b,Lrp5
XCL1,XCR1,Xcl1,Xcr1
XCL2,XCR1,Xcl2,Xcr1
YARS,CXCR1,Yars,Cxcr1
ZP3,MERTK,Zp3,Mertk
ACE,AGTR2,Ace,Agtr2
ACE,BDKRB2,Ace,Bdkrb2
ADAM10,AXL,Adam10,Axl
ADAM10,EPHA3,Adam10,Epha3
ADAM15,ITGAV,Adam15,Itgav
ADAM17,ERBB4,Adam17,Erbb4
ADAM17,NOTCH1,Adam17,Notch1
ADAM28,ITGA4,Adam28,Itga4
ADAM2,CD9,Adam2,Cd9
ADAM2,ITGA9,Adam2,Itga9
ADAM2,ITGB7,Adam2,Itgb7
ADAM9,ITGA3,Adam9,Itga3
ADCYAP1,SCTR,Adcyap1,Sctr
AGRN,ATP1A3,Agrn,Atp1a3
AGRN,LRP4,Agrn,Lrp4
AGRP,SDC3,Agrp,Sdc3
AHSG,INSR,Ahsg,Insr
ALB,LRP2,Alb,Lrp2
AMELX,LAMP1,Amelx,Lamp1
AMELY,LAMP1,Amely,Lamp1
AMH,ACVR1,Amh,Acvr1
AMH,EGFR,Amh,Egfr
ANGPT1,ITGA5,Angpt1,Itga5
ANGPTL3,ITGA5,Angptl3,Itga5
ANGPTL3,ITGAV,Angptl3,Itgav
ANGPTL3,ITGB3,Angptl3,Itgb3
ANXA1,DYSF,Anxa1,Dysf
ANXA1,EGFR,Anxa1,Egfr
APOB,LRP2,Apob,Lrp2
APOB,LSR,Apob,Lsr
APOB,OLR1,Apob,Olr1
APOD,LEPR,Apod,Lepr
APOE,LRP1,Apoe,Lrp1
APOE,LRP2,Apoe,Lrp2
APOE,SCARB1,Apoe,Scarb1
APP,CAV1,App,Cav1
APP,CD74,App,Cd74
APP,GPC1,App,Gpc1
APP,LRP1,App,Lrp1
APP,NCSTN,App,Ncstn
APP,TNFRSF21,App,Tnfrsf21
AREG,ERBB3,Areg,Erbb3
ARF1,CHRM3,Arf1,Chrm3
ARF1,INSR,Arf1,Insr
ARTN,GFRA1,Artn,Gfra1
ASIP,F11R,Asip,F11r
ASIP,MC2R,Asip,Mc2r
ASIP,MC3R,Asip,Mc3r
ASIP,MC4R,Asip,Mc4r
ASIP,MC5R,Asip,Mc5r
AZGP1,ITGAV,Azgp1,Itgav
B2M,CD1A,B2m,Cd1a
B2M,CD1B,B2m,Cd1b
B2M,HFE,B2m,Hfe
B2M,HLA-F,B2m,Hla-f
B2M,LILRB1,B2m,Lilrb1
BDNF,SORT1,Bdnf,Sort1
BGN,TLR2,Bgn,Tlr2
BGN,TLR4,Bgn,Tlr4
BMP10,ENG,Bmp10,Eng
BMP2,ENG,Bmp2,Eng
BMP2,HFE2,Bmp2,Hfe2
BMP7,ENG,Bmp7,Eng
BST1,CAV1,Bst1,Cav1
BTC,ERBB2,Btc,Erbb2
BTLA,CD79A,Btla,Cd79a
BTLA,VTCN1,Btla,Vtcn1
C1QA,CD93,C1qa,Cd93
C1QA,CR1,C1qa,Cr1
C1QA,CSPG4,C1qa,Cspg4
C1QB,LRP1,C1qb,Lrp1
C1QTNF1,AVPR2,C1qtnf1,Avpr2
C1QTNF5,MFRP,C1qtnf5,Mfrp
C3,C5AR2,C3,C5ar2
C3,CD19,C3,Cd19
C3,CD46,C3,Cd46
C3,CR1,C3,Cr1
C3,ITGAM,C3,Itgam
C4A,C3AR1,C4a,C3ar1
C4A,C5AR2,C4a,C5ar2
C4A,CR1,C4a,Cr1
C4BPA,BMPR2,C4bpa,Bmpr2
C4BPA,CD40,C4bpa,Cd40
C4BPA,LRP1,C4bpa,Lrp1
C4B,CD46,C4b,Cd46
C4B,CR1,C4b,Cr1
C5orf55,TRAF2,C5orf55,Traf2
CALCA,RAMP2,Calca,Ramp2
CALR,ITGA2B,Calr,Itga2b
CALR,ITGA3,Calr,Itga3
CALR,ITGAV,Calr,Itgav
CALR,LRP1,Calr,Lrp1
CALR,MTNR1A,Calr,Mtnr1a
CALR,TSHR,Calr,Tshr
CCL11,ACKR4,Ccl11,Ackr4
CCL13,ACKR4,Ccl13,Ackr4
CCL14,CCR3,Ccl14,Ccr3
CCL16,CCR8,Ccl16,Ccr8
CCL17,DARC,Ccl17,Darc
CCL18,C14orf1,Ccl18,C14orf1
CCL19,ACKR2,Ccl19,Ackr2
CCL19,CCR10,Ccl19,Ccr10
CCL21,ACKR2,Ccl21,Ackr2
CCL25,ACKR2,Ccl25,Ackr2
CCL25,CCR10,Ccl25,Ccr10
CCL26,CCR1,Ccl26,Ccr1
CCL27,ACKR2,Ccl27,Ackr2
CCL28,ACKR2,Ccl28,Ackr2
CCL2,ACKR4,Ccl2,Ackr4
CCL2,CCR10,Ccl2,Ccr10
CCL3L1,CCR1,Ccl3l1,Ccr1
CCL3L1,CCR3,Ccl3l1,Ccr3
CCL3L1,CCR5,Ccl3l1,Ccr5
CCL3L3,ACKR2,Ccl3l3,Ackr2
CCL3L3,CCR5,Ccl3l3,Ccr5
CCL3,ACKR2,Ccl3,Ackr2
CCL3,CCR3,Ccl3,Ccr3
CCL3,CCR4,Ccl3,Ccr4
CCL4,CCR3,Ccl4,Ccr3
CCL5,ACKR4,Ccl5,Ackr4
CCL5,SDC1,Ccl5,Sdc1
CCL5,SDC4,Ccl5,Sdc4
CCL7,ACKR4,Ccl7,Ackr4
CCL7,CCR10,Ccl7,Ccr10
CCL7,DARC,Ccl7,Darc
CCL8,ACKR4,Ccl8,Ackr4
CCL8,DARC,Ccl8,Darc
CD14,ITGA4,Cd14,Itga4
CD14,ITGB1,Cd14,Itgb1
CD55,CR1,Cd55,Cr1
CD5L,CD5,Cd5l,Cd5
CDH1,EGFR,Cdh1,Egfr
CDH1,IGF1R,Cdh1,Igf1r
CDH1,PTPRF,Cdh1,Ptprf
CDH1,PTPRM,Cdh1,Ptprm
CEL,CXCR4,Cel,Cxcr4
CFH,ITGAM,Cfh,Itgam
CGN,F11R,Cgn,F11r
CNTF,IL6R,Cntf,Il6r
CNTN2,CNTN1,Cntn2,Cntn1
CNTN2,CNTNAP2,Cntn2,Cntnap2
CNTN2,NRCAM,Cntn2,Nrcam
CNTN4,PTPRG,Cntn4,Ptprg
COL11A1,DDR1,Col11a1,Ddr1
COL14A1,CD44,Col14a1,Cd44
COL18A1,GPC4,Col18a1,Gpc4
COL18A1,KDR,Col18a1,Kdr
COL1A1,CD36,Col1a1,Cd36
COL1A1,CD44,Col1a1,Cd44
COL1A1,CD93,Col1a1,Cd93
COL1A1,ITGA5,Col1a1,Itga5
COL1A1,TMPRSS6,Col1a1,Tmprss6
COL1A2,CD36,Col1a2,Cd36
COL1A2,CD44,Col1a2,Cd44
COL1A2,CD93,Col1a2,Cd93
COL1A2,ITGA2,Col1a2,Itga2
COL1A2,ITGA2B,Col1a2,Itga2b
COL1A2,ITGB3,Col1a2,Itgb3
COL2A1,DDR1,Col2a1,Ddr1
COL2A1,ITGA2B,Col2a1,Itga2b
COL2A1,MAG,Col2a1,Mag
COL2A1,TNFRSF10A,Col2a1,Tnfrsf10a
COL3A1,DDR1,Col3a1,Ddr1
COL3A1,DDR2,Col3a1,Ddr2
COL3A1,MAG,Col3a1,Mag
